,Name,Tweet Count,Tweet,Compound Score,Positive,Negative,Neutral,Date
25,BBC,75,"RT @BBCOne: 🎤 “I’m coming out. I want the world to know, got to let it show.” 🎤 #BluePlanet2 https://t.co/CDydVz7xVv",0.0772,0.075,0.0,0.925,Sun Nov 26 20:48:58 +0000 2017
26,BBC,74,'You can't mug off the Queen'. 😂 ⚒ 🎖 @MrDDyer playing Send To All with @McInTweet is brilliant.… https://t.co/OMG46hz51X,0.2023,0.107,0.0,0.893,Sun Nov 26 20:35:06 +0000 2017
27,BBC,73,RT @BBCOne: Sea otters: providing 100% of your daily requirement of cuteness. ❤️ #BluePlanet2 https://t.co/sZVOKUyVkr,0.5106,0.191,0.0,0.809,Sun Nov 26 20:20:17 +0000 2017
28,BBC,72,RT @BBCOne: Raiding the fridge in the middle of the night like… #BluePlanet2 https://t.co/RoSDcuJZpz,0.0,0.0,0.0,1.0,Sun Nov 26 20:13:59 +0000 2017
29,BBC,71,"Tonight, a team of scientists begin an expedition to Nyiragongo, one of the world's most dangerous volcanoes.… https://t.co/cP6Oo6ukqz",-0.5256,0.0,0.175,0.825,Sun Nov 26 20:03:04 +0000 2017
30,BBC,70,Can you guess the secret ingredient that magically turns into vegan mayo? Via @BBCFood. https://t.co/d8oB0dlkWR,0.0,0.0,0.0,1.0,Sun Nov 26 19:30:02 +0000 2017
31,BBC,69,'When did it get so heavy?' 🎶 💖 Hands up if you've had @AnneMarieIAm on repeat since #SLFN. 🙋 Via @BBCMusic https://t.co/Imr5DdbkPn,0.0,0.0,0.0,1.0,Sun Nov 26 19:15:04 +0000 2017
32,BBC,68,When is it not OK to pet a stranger's dog? 🙅🐶 https://t.co/KJlTScCCp3 https://t.co/TOdCkuGFhR,-0.3465,0.0,0.181,0.819,Sun Nov 26 18:30:08 +0000 2017
33,BBC,67,"""That was the happiest I've ever been"": 15-year-old Julia explains why @SimonCowell paid for her scoliosis surgery.… https://t.co/a1yrYK6FVh",0.6369,0.198,0.0,0.802,Sun Nov 26 18:03:01 +0000 2017
34,BBC,66,"As the weather takes a turn, we thought we'd celebrate the beauty &amp; splendour of what's been an awesome autumn. 🍂🍁… https://t.co/oy6fLtok2j",0.9413,0.465,0.0,0.535,Sun Nov 26 17:30:20 +0000 2017
35,BBC,65,Want to make a splash in the world of parenting? The #Motherland guide to pool parties is here to help! 🏊😂 Via… https://t.co/S390iq6fdm,0.7177,0.269,0.0,0.731,Sun Nov 26 17:00:05 +0000 2017
36,BBC,64,"RT @bbcf1: 'Thank you for everything'

Listen to the moment Felipe Massa crossed the finish line for the final time.

https://t.co/cXFgG2Pw…",0.3612,0.111,0.0,0.889,Sun Nov 26 16:46:43 +0000 2017
37,BBC,63,"RT @BBCR1: Dear #ARMY,

@AdeleRoberts has been busy over in Seoul working on a very special K-pop documentary featuring @BTS_twt! 😍

She's…",0.7082,0.246,0.0,0.754,Sun Nov 26 16:46:35 +0000 2017
38,BBC,62,RT @BBCSpringwatch: Hands up if you've spotted one of these cheeky chaps in your garden! 🙌🏽 https://t.co/po1DBtIVfC,0.0,0.0,0.0,1.0,Sun Nov 26 16:46:29 +0000 2017
39,BBC,61,RT @bbcthree: Dave is terminally ill and facing the inevitability of leaving his wife and step-kids behind. https://t.co/lLTLOTTZqi,-0.4215,0.0,0.141,0.859,Sun Nov 26 16:46:25 +0000 2017
40,BBC,60,👦🏿👧🏽👨🏾👵🏻 The artist who reveals our Pantone shades to expose – and subvert – our racial prejudices.… https://t.co/DdHuF9APqt,-0.1531,0.0,0.096,0.904,Sun Nov 26 16:30:11 +0000 2017
41,BBC,59,🐶🎖️ This heroic doggo has just won the highest award given to military animals. Via @BBCNewsbeat. https://t.co/xvplQNBFgT,0.8957,0.435,0.0,0.565,Sun Nov 26 16:00:04 +0000 2017
42,BBC,58,Everything you know about acid attacks is wrong. 🙅 https://t.co/r6Ga7XwKAr https://t.co/X7GxNjvefB,-0.7184,0.0,0.429,0.571,Sun Nov 26 15:00:09 +0000 2017
43,BBC,57,"'In today’s society, it isn’t appropriate': This mum wants Sleeping Beauty removed from her child’s curriculum. 📖… https://t.co/8I6gdr5i4z",0.5859,0.183,0.0,0.817,Sun Nov 26 14:33:04 +0000 2017
44,BBC,56,😂 @BBCTheSocial explore Justice League's crappiest moments. https://t.co/CjaQNCrOhT,0.5267,0.362,0.0,0.638,Sun Nov 26 14:00:03 +0000 2017
45,BBC,55,"Some people enjoy tasting new, exotic flavours, while others are averse. What's the psychology behind this preferen… https://t.co/HyD3yo0Dqu",0.4939,0.158,0.0,0.842,Sun Nov 26 13:00:07 +0000 2017
46,BBC,54,Fox hitches free ride on London sightseeing bus. 🦊 🇬🇧 https://t.co/eIvAXH6jsD https://t.co/C3pGb63t5F,0.5106,0.248,0.0,0.752,Sun Nov 26 12:33:04 +0000 2017
47,BBC,53,"Is this a roofing revolution for some of the world's poorest slums?
 #BBCInnovators via @BBCWorldService.
More 👉… https://t.co/1ANjC0kZBc",-0.5423,0.0,0.179,0.821,Sun Nov 26 12:00:06 +0000 2017
48,BBC,52,📸🇬🇧 A very British weekend: @RankinPhoto asked the people of Britain to capture a normal day in their lives one Oct… https://t.co/vboymPJsaS,0.0,0.0,0.0,1.0,Sun Nov 26 11:43:13 +0000 2017
49,BBC,51,🎬 Are Prince William &amp; Harry in the new Star Wars film? They wouldn't be the first royals to appear in the franchis… https://t.co/AYdWUD6ruB,-0.5574,0.0,0.141,0.859,Sun Nov 26 11:00:08 +0000 2017
